Property_ID,Habitability_score
0x6e93,29.314491
0x8787,80.017006
0x6c17,68.25081
0x9dbd,71.49219
0xbfde,81.73623
0x6a39,64.76441
0x47a6,73.32293
0x7687,74.64295
0x963a,73.21861
0xbcbb,71.64885
0x4950,67.51021
0x316a,73.34085
0x6b21,65.38925
0x6252,71.24595
0xa67f,77.10622
0x2cd8,78.61815
0x5926,28.732586
0x9a42,77.74703
0x4b5e,78.18206
0x76af,72.81923
0xb44b,72.94755
0x2e49,74.870674
0x83fc,56.118256
0x26b1,38.570568
0x210b,82.86087
0xb384,89.58972
0x455e,79.43837
0x6ae6,78.97563
0x9aff,77.76631
0x6916,83.56555
0x145a,78.12279
0xbfd0,73.81635
0x1ffa,73.14841
0x9412,83.89199
0x9860,84.109474
0x690f,90.783775
0x80ec,77.774925
0x7223,82.38302
0xf99,62.761517
0x953d,72.34241
0x4305,90.69649
0x639e,80.99755
0x2ba8,73.04513
0x8c0c,84.561035
0x284b,74.91604
0xa832,78.295395
0xbeea,78.10338
0xaaa7,39.275475
0xc702,74.17595
0x7817,83.54414
0x56d5,63.451565
0x3d65,81.84201
0x5ed6,83.46992
0xc0d4,86.54966
0x4abb,22.725681
0x4f8e,81.07483
0xa4c8,67.99992
0x9085,70.01488
0xb1aa,73.37147
0x3a63,88.173996
0x15ac,75.35392
0x1066,74.95911
0x5ff1,77.06936
0x35f3,75.32378
0x9dba,74.258064
0x78df,76.09904
0x3261,87.89978
0x5fbc,84.357506
0xf3a,77.714806
0x5578,83.14246
0x8867,94.25366
0xfad,71.75026
0x8f94,83.502716
0x55b9,77.003174
0xc320,79.51666
0x6cbc,79.62376
0x8226,74.78231
0xc937,89.86694
0x67cb,73.83435
0xbbb4,66.57052
0xa086,79.25064
0x6e13,76.132706
0xc633,73.131386
0x7d66,63.68528
0x62d9,82.58307
0x6c54,84.00911
0x2194,76.0289
0x5af6,81.96835
0x1278,81.06706
0xeaf,81.23636
0xaf6b,35.161316
0x6f27,79.491234
0x8d0d,69.39649
0x6c70,74.12412
0x7213,70.35967
0x89a6,73.15776
0x6543,89.56828
0x5d77,72.67811
0x2ffd,79.66894
0x402c,82.53164
0x93df,82.5852
0x5162,72.473434
0x26e2,79.51931
0x6c33,65.29395
0x21b6,77.24173
0xc799,69.8546
0x7011,73.18771
0x8018,80.0587
0xc73f,73.231865
0x7af1,73.60749
0x69b8,80.45681
0x8a31,83.37002
0x9497,84.71475
0x9495,72.29681
0x488c,74.36865
0xbab1,62.51152
0x875c,64.61824
0x1cdd,73.8683
0xc5b0,31.517004
0x9eaf,24.711744
0x66df,65.79492
0x107c,79.13463
0x9f1d,73.486984
0x9d34,78.790306
0x66a9,87.49825
0x722a,77.05217
0x5e91,81.90032
0xd7a,79.155914
0xc7be,71.1561
0x47f3,40.379856
0x1168,76.511
0x8fdc,80.252106
0x6aa2,28.77014
0x63d3,79.64285
0xac28,74.30406
0x6d74,62.518845
0x411d,68.15031
0xbc3a,82.49179
0x30b5,75.880424
0xab36,72.56479
0x1653,61.523792
0x2294,30.045734
0x90b7,69.94714
0x83e0,74.28221
0x8d63,81.54399
0x3038,79.14427
0x7293,74.49196
0x7c1a,82.70403
0xa43e,77.29602
0x4c03,78.46213
0xc7fe,68.37712
0x7cfd,80.203316
0xa4f8,53.468903
0x3ff1,73.66167
0xa2a8,84.58439
0x7656,85.117584
0xb226,74.29506
0xc443,80.38324
0x7d7a,79.64901
0x6075,73.934006
0x45f2,67.24287
0x86f7,75.5562
0x121a,80.53909
0x5d53,67.96747
0xb292,77.60915
0x155a,71.39587
0xc6bd,73.035866
0x9716,74.21039
0x1e7e,77.27073
0x1b9a,75.759766
0x584c,75.84429
0x5b83,83.33905
0x24db,81.24245
0x2a4e,79.33874
0x9455,81.69216
0x589c,82.1312
0x8e04,81.337006
0x4420,88.20194
0xbb11,82.09349
0x7c73,20.798368
0x58be,80.00867
0xb0dd,76.54585
0x254c,72.230965
0x532c,74.91705
0x79ad,72.22823
0x6702,84.303566
0x229c,72.11232
0x77c7,86.90124
0xa3a,77.51485
0xa415,77.57588
0xa2b1,73.28042
0xbe0c,80.93739
0x4160,88.88764
0xaaf0,62.330917
0x95fd,68.52779
0x3521,78.62195
0x9752,75.93096
0x820c,74.84554
0xf84,75.15042
0x4c8e,67.95272
0x132a,76.214745
0x668,77.231636
0x3d7e,67.8805
0xa6f2,76.74525
0xb2cf,81.86331
0x7408,87.691216
0x3105,62.297573
0x1e67,93.31803
0xb018,72.563126
0x37b2,85.30109
0x63d9,69.767815
0xad38,72.22922
0x2625,76.61847
0x7686,82.28154
0x2cf7,65.14162
0xc27a,65.92319
0xbeaa,71.37165
0x5096,83.02911
0x252c,66.382835
0x702b,79.94025
0x65a0,70.12621
0xc5f6,85.996025
0x3779,32.593906
0xa657,81.874855
0x90c8,76.610985
0x7a93,76.069374
0x6b22,81.80447
0x6348,73.26855
0x7667,90.4024
0x3d11,40.825287
0x39a6,79.50461
0x21eb,75.319466
0xad62,70.07452
0x128e,75.147285
0x3722,40.441532
0x2a7a,80.80652
0x7d0d,71.36808
0xb6f6,71.42711
0x9eb0,73.148575
0x8651,73.323
0xad8c,74.98003
0x51e6,79.11469
0x10da,38.097992
0xb3c8,84.6797
0x35c7,76.64422
0x393a,32.10496
0x83ac,79.674706
0x25e1,23.798101
0x61c8,74.82688
0xa7d5,21.977781
0x4c30,75.69104
0xa86,72.701004
0x8015,84.98953
0x1a65,76.068756
0xc12,27.878172
0x32b3,74.585495
0x2e41,83.63115
0x7838,44.31598
0xf8e,80.35141
0x1bbf,69.64331
0x956d,78.157524
0x1b82,87.19267
0x9f35,73.86571
0x8b49,74.43614
0x2c13,79.76968
0x84e8,88.02891
0x4ea8,81.722305
0x5e1e,87.29474
0xb583,83.598595
0x2bbe,82.18858
0x9dd5,81.55153
0x9823,73.76476
0x9fc3,85.846115
0x5887,75.40376
0x2eee,74.78071
0x46e3,72.545975
0xc69f,77.34603
0x754f,70.424835
0x653c,71.21563
0x35cd,61.26865
0x45e9,80.28902
0x3b44,81.08727
0x10dc,79.38605
0x7e3d,84.306526
0x30d0,85.21681
0xa455,64.68061
0xb01e,76.30696
0x86da,76.32652
0xb9f1,84.015305
0x8e6e,80.55827
0x4318,66.8983
0x3e5d,85.16284
0x310a,72.83767
0x4b37,85.82674
0x54ca,82.82253
0x91fa,80.36238
0x295a,85.41597
0x10ed,78.530945
0x4946,82.963295
0x2ac8,30.98368
0x7792,40.715527
0x7e81,73.58411
0xc392,80.788284
0x8afc,77.360466
0x5c30,77.78528
0x3060,80.47524
0xbe63,77.87727
0xbc5f,76.092415
0x5a68,85.74829
0xadc6,67.433655
0x72fe,77.81415
0x35af,80.676796
0x3fb6,74.04441
0xbb62,70.558395
0x846b,80.57338
0x1065,83.33989
0x1549,77.700226
0x6431,79.70597
0x8c5b,74.14978
0x8769,83.53404
0x1c88,79.41417
0x3459,78.53116
0xc3a9,87.33444
0xb497,81.45911
0x81d9,40.203793
0x6f14,87.89854
0x3b3b,86.918976
0xbd55,77.10291
0x2ad5,83.41714
0x369c,77.84185
0x7f08,74.99762
0x32bb,72.06891
0x6b36,82.988205
0x50cf,82.335464
0xaaa5,76.270096
0x6634,81.85956
0x9210,70.21243
0x650e,79.86366
0x43c4,81.020294
0x4e5d,78.56993
0x7dae,63.67857
0x3ec4,73.260315
0x9e8f,84.83886
0x8132,72.329285
0x5ef1,74.004234
0x7158,72.919655
0x725d,74.4326
0x5f44,74.84861
0x58ce,84.04348
0x1beb,81.74858
0x7650,66.071846
0x96de,71.8883
0x2054,73.630104
0x3a5b,85.10101
0xc5ef,75.737595
0x4c38,74.917404
0x9f64,83.78789
0x2f59,71.56431
0x3010,75.0701
0xc02d,85.25294
0x8873,71.15242
0x2919,81.06888
0x658c,68.198235
0x5311,81.45992
0x4316,87.76637
0x34cf,91.19435
0x2923,74.59537
0xa15d,66.71212
0x16a7,74.80142
0x2e2f,73.7755
0x2bfa,75.13237
0x5546,85.25697
0x4ef0,29.89113
0x90b9,38.935814
0xc24a,78.75724
0x3987,81.01674
0x9d91,86.49172
0x1fc2,83.95856
0x938c,75.84675
0x5783,85.341515
0x1f23,84.01867
0x2421,79.676735
0x9519,86.70401
0x5ff6,81.54651
0x5138,61.75213
0xdc6,75.48006
0x1570,84.71122
0x3e39,81.9522
0xb84,74.95867
0x7348,81.66002
0x8a7f,77.16272
0x64ac,77.48198
0x7a79,72.50597
0x1eb6,63.926674
0xaf32,85.12858
0x3d7f,84.09148
0x805c,81.5293
0x1d6c,66.914925
0x4962,74.981895
0x4552,81.23294
0xbdfb,73.77373
0x73df,60.51825
0x96b4,80.735794
0x77c8,82.20405
0x5d75,48.550636
0x46f5,67.10601
0x828c,73.54889
0x17b4,79.79707
0xbd5e,71.71993
0x5f55,75.04776
0x2a53,82.16037
0x413d,33.26151
0x5262,72.42633
0x4620,64.12438
0x9f3e,70.51518
0x4f9c,32.60412
0xa8d7,88.25754
0x3d93,87.58639
0x1e05,70.70363
0x7c5d,84.24209
0x2002,84.63992
0xa5c7,75.054306
0x5325,82.74922
0x6338,93.68948
0x23f4,67.944214
0x834e,87.74836
0x7134,82.62821
0x17e2,85.58899
0x6064,73.6498
0x93a0,33.359673
0x52c7,75.60762
0x8b32,82.46543
0xa57e,80.480865
0x9fd1,33.298134
0x5afd,81.86817
0x22ea,69.534134
0x8088,83.802986
0xbcc4,81.79729
0x1770,91.40663
0xc8bf,84.85991
0x42b8,67.863655
0x86d0,79.63924
0x9284,75.75618
0xa1ab,71.158554
0xc30,74.45031
0xab9a,75.38181
0x8760,81.49791
0x9e1d,65.95578
0xc7ac,80.03871
0x868d,78.05099
0x238e,74.93708
0x8db3,32.515564
0x8087,80.73816
0x1a51,84.881165
0x62c4,78.786705
0x69be,76.10908
0xa097,63.80145
0x8872,80.208496
0xa87c,77.89263
0xb388,92.765335
0xb5dc,77.31344
0x27da,60.775696
0x7a05,63.7825
0x4806,84.08604
0x6d9f,78.18131
0xaf99,74.02764
0xe13,76.02978
0x4452,68.82022
0x2fa1,89.12343
0xa534,73.162544
0xc34d,63.553513
0x4b64,90.01968
0x5e98,69.3945
0x2e81,82.87793
0x17af,70.07293
0x124e,86.55482
0x466c,75.0652
0x1689,51.370808
0xbf02,81.492966
0x92b2,78.38003
0x6a6,75.70239
0x6eed,75.66527
0xa8be,72.59243
0x1c31,75.0547
0x5bcc,38.99951
0x6ecd,84.76196
0xc18b,66.61372
0x4a88,73.82821
0x346f,73.29448
0x964e,76.76033
0x539d,82.58585
0x2e07,78.68706
0x12df,81.8391
0x25fa,79.22427
0x5369,74.30193
0xb4fc,70.46717
0x42e2,80.05709
0x129b,75.206635
0x2375,73.274925
0x5ffd,80.508644
0x83dc,66.259735
0x970a,70.13836
0xb3b,76.92345
0x9791,73.13359
0xaa29,79.642334
0x154b,70.25823
0x56e5,86.162605
0x65b4,78.25613
0x8858,65.481834
0x492c,70.97955
0x6546,64.5226
0x27a5,87.497795
0xc277,73.574646
0x72c8,82.38788
